Địa chỉ phòng;Khoảng cách tới UEH cơ sở B (km);Diện tích phòng (m²);Có máy lạnh / WC riêng / bếp;Giờ giấc tự do?;Số người ở tối đa;Có chỗ để xe?;Gần tiện ích (siêu thị, bus);Link truy cập tham khảo;Column1;Column2;Column3;Column4;Column5;Column6
88/37 Lê Hồng Phong, P.12, Quận 10;1,2;15;Full nội thất, WC riêng, kệ bếp;Có;3;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=10;;;;;;
335/46 Nguyễn Tiểu La, P.2, Quận 5;2,8;31;Phòng trống, WC riêng, có chỗ nấu ăn;Không;2;Không;Gần chợ Nhật Tảo, Satra Food;https://www.chotot.com/thue-phong-tro-quan-10?page=4;;;;;;
58/12 Hòa Hảo, P.10, Quận 11;0,8;23;Có máy lạnh, WC chung, bếp riêng;Có;4;Không;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://www.chotot.com/thue-phong-tro-quan-10?page=8;;;;;;
120/25 Thành Thái, P.10, Quận 11;1,9;16;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có (phí 100k);Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=3;;;;;;
386/ Lê Hồng Phong, P.12, Quận 11;2,5;32;Máy lạnh, WC riêng, bếp riêng (Studio);Không;3;Có;Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=9;;;;;;
378/ Sư Vạn Hạnh, P.10, Quận 10;2,4;35;Không máy lạnh, WC riêng, không bếp;Không;3;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
156/ Vĩnh Viễn, P.15, Quận 11;1;18;Có máy lạnh, WC chung, bếp riêng;Không;2;Gửi xe ngoài;Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
16/ Lý Thường Kiệt, P.8, Quận 5;1,3;19;Không máy lạnh, WC riêng, không bếp;Có;2;Có (phí 100k);Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=9;;;;;;
411/ Vĩnh Viễn, P.12, Quận 11;1,2;31;Full nội thất, WC riêng, kệ bếp;Không;4;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=10;;;;;;
412/47 Thành Thái, P.8, Quận 11;2;22;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Không;Gần Circle K, trạm bus 59;https://www.chotot.com/thue-phong-tro-quan-10?page=8;;;;;;
16/24 Ngô Quyền, P.5, Quận 11;3,5;17;Có máy lạnh, WC chung, bếp riêng;Không;2;Gửi xe ngoài;Gần chợ Nhật Tảo, Satra Food;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=2;;;;;;
453/ Lý Thường Kiệt, P.1, Quận 5;2,4;31;Có máy lạnh, WC chung, bếp riêng;Có;2;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=6;;;;;;
226/ Lý Thường Kiệt, P.5, Quận 11;1,4;28;Không máy lạnh, WC riêng, không bếp;Có;4;Gửi xe ngoài;Gần chợ Nhật Tảo, Satra Food;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=9;;;;;;
146/36 Bà Hạt, P.8, Quận 10;1,2;22;Có máy lạnh, WC chung, bếp riêng;Có;3;Có;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
291/ Vĩnh Viễn, P.2, Quận 5;0,8;25;Máy lạnh, WC riêng, bếp riêng (Studio);Có;3;Có (phí 100k);Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
398/ Cách Mạng Tháng 8, P.2, Quận 10;1,6;25;Full nội thất, WC riêng, kệ bếp;Có;3;Có (phí 100k);Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=5;;;;;;
73/10 Lý Thái Tổ, P.8, Quận 10;1,7;24;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Không;Gần Co.op Mart, trạm bus 150;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=9;;;;;;
384/ Lý Thường Kiệt, P.10, Quận 10;1,6;29;Full nội thất, WC riêng, kệ bếp;Không;2;Có (phí 100k);Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=5;;;;;;
439/ Lý Thái Tổ, P.4, Quận 5;2,5;31;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Không;Gần Co.op Mart, trạm bus 150;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
