"Dấu thời gian","1. Điểm trung bình tích lũy (GPA) hoặc GPA học kỳ gần nhất của bạn là bao nhiêu? (Theo thang điểm 4.0)","2. Bạn dành khoảng bao nhiêu giờ mỗi tuần để TỰ HỌC (không tính thời gian học trên giảng đường)?","3. Bạn đang đăng ký học bao nhiêu môn trong học kỳ này?","4. Bạn có đang làm thêm (Part-time job) trong học kỳ này không?","5. Thời gian NGỦ trung bình mỗi ngày của bạn là bao nhiêu tiếng?","6. Bạn có đang tham gia hoạt động tại Câu lạc bộ / Đội / Nhóm nào trong trường không?","7. Tỷ lệ tham dự các buổi học trên lớp (Attendance) của bạn ước tính khoảng bao nhiêu %?","8. Phương pháp học tập chủ yếu của bạn là gì?","9. Thời gian bạn dành cho Mạng xã hội (Facebook, TikTok, Instagram...) trung bình mỗi ngày là bao nhiêu tiếng?"
"2026/05/10 6:54:55 CH GMT+7","3.61","14","9","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","4"
"2026/05/10 7:03:41 CH GMT+7","3.37","3","11","Có","7","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","3"
"2026/05/10 9:55:24 CH GMT+7","2.8","5","7","Không","7","Có","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","2"
"2026/05/11 8:29:18 SA GMT+7","3.63","12","23","Không","7","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","8"
"2026/05/11 10:31:11 SA GMT+7","3.63","12","9","Không","7","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","6.5"
"2026/05/11 1:30:50 CH GMT+7","3.23","4","30","Có","8","Có","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","4"
"2026/05/11 5:17:01 CH GMT+7","3.6","24","7","Có","8","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","4"
"2026/05/11 5:32:21 CH GMT+7","1","1","1","Có","16","Không","Dưới 50%","Chủ yếu là học nhóm","8"
"2026/05/11 6:24:19 CH GMT+7","3.2","1","12","Không","6","Có","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","6"
"2026/05/11 6:36:11 CH GMT+7","3.0","2","8","Không","7.5","Có","Từ 70% - 90%","Chủ yếu là tự học","2"
"2026/05/11 6:42:26 CH GMT+7","1.5","10","8","Có","7","Có","Dưới 50%","Chủ yếu là tự học","1"
"2026/05/11 6:55:41 CH GMT+7","3.57","30","10","Không","7.5","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","5"
"2026/05/12 1:01:38 SA GMT+7","2.72","1","8","Có","6","Có","Từ 70% - 90%","Kết hợp cả hai (Tỷ lệ 50-50)","8"
"2026/05/13 9:13:03 SA GMT+7","3.85","7","9","Không","6.5","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","5"
"2026/05/15 8:59:55 CH GMT+7","3.52","14","13","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","3"
"2026/05/15 9:12:19 CH GMT+7","3.5","3","6","Có","7","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","5"
"2026/05/16 2:21:30 CH GMT+7","3.78","35","12","Không","7","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","2"
"2026/05/16 2:23:06 CH GMT+7","3.2","21","8","Có","8","Có","Từ 70% - 90%","Kết hợp cả hai (Tỷ lệ 50-50)","3"
"2026/05/16 2:24:36 CH GMT+7","3.52","14","13","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","3"
"2026/05/16 2:26:16 CH GMT+7","3.52","14","13","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","3"
"2026/05/16 2:35:40 CH GMT+7","4.0","7","10","Có","7","Có","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","19"
"2026/05/16 3:06:31 CH GMT+7","2.8","2","4","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","3 "
"2026/05/16 3:15:19 CH GMT+7","3.3","7","6","Có","8","Có","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","4"
"2026/05/16 3:23:50 CH GMT+7","3.2","03","5","Không","9","Có","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","4"
"2026/05/16 4:17:06 CH GMT+7","3.0","2 ","6","Có","8","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","2"
"2026/05/17 9:34:20 SA GMT+7","3.8","21","8","Không","7","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","7"
"2026/05/17 5:07:32 CH GMT+7","3","8","4","Không","7.5","Có","Từ 70% - 90%","Chủ yếu là tự học","8"
"2026/05/17 5:07:51 CH GMT+7","3.5","14 ","8","Không","10","Không","Từ 70% - 90%","Kết hợp cả hai (Tỷ lệ 50-50)","3"
"2026/05/17 5:13:20 CH GMT+7","3.65","6","9","Không","8","Không","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","18"
"2026/05/17 5:17:46 CH GMT+7","3.0","21 ","8","Không","7","Có","Trên 90% (Hầu như không nghỉ)","Kết hợp cả hai (Tỷ lệ 50-50)","8"
"2026/05/17 6:36:15 CH GMT+7","3.7","14","10","Không","5.5","Không","Trên 90% (Hầu như không nghỉ)","Chủ yếu là tự học","5"
